"sys_menu_menu_id","sys_api_id"
216,6
250,6
58,21
236,21
238,23
59,24
240,24
242,25
58,26
236,26
56,27
228,27
230,28
226,29
51,39
222,39
221,41
52,44
225,44
226,45
226,46
226,47
62,53
244,53
246,54
57,59
241,80
237,81
229,82
245,87
220,88
224,90
531,92
242,101
238,102
230,103
226,106
226,107
246,108
221,109
249,114
251,115
243,120
239,121
231,122
247,125
223,126
227,128
51,135
528,135
529,135
531,136
212,137
248,137
542,139
540,140
3,141
44,141
45,142
43,150
45,151
46,156
